Transaction Identificator,Amount,Currency Code,Transaction Date,Status
,146.75,DOP,04/05/2024 14:36:44,Approved
13363958,.19,GMD,04/05/2024 00:23:00,Failed
24820569,417.30,,04/05/2024 03:25:12,Approved
19178798,313.42,BHD,,Failed
88880802,169.83,AZN,03/05/2024 19:45:11,
05469451,691.88,GBP,04/05/2024 09:15:22,Finished
67840076,988.87,PEN,03/05/2024 22:52:21,Approved
24721044,908.60,BHD,04/05/2024 09:46:54,Rejected
21150069,211.63,VES,04/05/2024 10:27:19,Approved
45055619,589.31,ETB,04/05/2024 00:02:03,Finished
15496445,49.95,SGD,04/05/2024 03:58:01,Finished
61579058,903.41,MKD,04/05/2024 13:31:44,Approved
18833516,927.51,HUF,04/05/2024 08:28:55,Failed
76718666,750.94,HTG,04/05/2024 08:27:17,Finished
23874890,663.44,LBP,04/05/2024 01:54:28,Finished
17904359,408.14,BTN,04/05/2024 11:08:23,Finished
97530761,326.64,MVR,04/05/2024 04:10:45,Finished
87349764,15.82,EUR,03/05/2024 18:31:19,Finished
65901417,932.60,COP,04/05/2024 00:06:17,Approved
02757290,711.53,LYD,04/05/2024 13:50:45,Finished
03010521,860.03,GBP,04/05/2024 03:53:47,Finished
59821220,585.76,MRU,03/05/2024 17:33:30,Approved
53088227,807.11,NGN,04/05/2024 07:31:11,Approved
87745413,59.91,BZD,04/05/2024 13:54:58,Finished
09172670,559.72,PAB,04/05/2024 16:31:37,Finished
02935220,252.32,BZD,03/05/2024 22:58:36,Finished
19539087,239.85,GEL,04/05/2024 04:58:41,Finished
69881706,70.02,ARS,2024/05/05/ 05:09:22,Finished
67543591,579.75,BYN,04/05/2024 07:42:18,Failed
52796421,66.33,SGD,04/05/2024 07:56:47,Finished
60207103,260.31,BHD,03/05/2024 21:30:52,Finished
19655896,263.29,GNF,04/05/2024 15:14:43,Failed
75779196,13.95,JPY,04/05/2024 11:12:13,Failed
67939952679399526793995267939952679399526793995267939952,915.61,AFN,04/05/25/05/2024:51,Finished
